timestamp	longitude_m	longitude_o	altitude
490645	0	104	0
490745	0	104	0
490845	0	104	0
490944	0	104	0
491044	0	104	0
491205	0	104	0
491244	0	104	0
491344	0	104	0
491444	0	104	0
491545	0	104	0
491644	0	104	0
491744	0	104	0
491845	0	104	0
491944	0	104	0
492044	0	104	0
492144	0	104	0
492245	0	104	0
492344	0	104	0
492444	0	104	0
492545	0	104	0
492645	0	104	0
492744	0	104	0
492844	0	104	0
492944	0	104	0
493045	0	104	0
493144	0	104	0
493245	0	104	0
493345	0	104	0
493445	0	104	0
493544	0	104	0
493644	0	104	0
493745	0	104	0
493844	0	104	0
493945	0	104	0
494044	0	104	0
494145	0	104	0
494244	0	104	0
494345	0	104	0
494444	0	104	0
494545	0	104	0
494644	0	104	0
494744	0	104	0
494844	0	104	0
494945	0	104	0
495045	0	104	0
495145	0	104	0
495245	0	104	0
495345	0	104	0
495445	0	104	0
495544	0	104	0
495645	0	104	0
495745	0	104	0
495845	0	104	0
495945	0	104	0
496045	0	104	0
496145	0	104	0
496245	0	104	0
496345	0	104	0
496445	0	104	0
496545	0	104	0
496645	0	104	0
496745	0	104	0
496845	0	104	0
496945	0	104	0
497045	0	104	0
497145	0	104	0
497245	0	104	0
497345	0	104	0
497445	0	104	0
497545	0	104	0
497645	0	104	0
497745	0	104	0
497845	0	104	0
497945	0	104	0
498045	0	104	0
498145	0	104	0
498245	0	104	0
498345	0	104	0
498445	0	104	0
498545	0	104	0
498645	0	104	0
498745	0	104	0
498845	0	104	0
498945	0	104	0
499045	0	104	0
499145	0	104	0
499245	0	104	0
499345	0	104	0
499445	0	104	0
499545	0	104	0
499645	0	104	0
499745	0	104	0
499845	0	104	0
500045	0	104	0
500245	0	104	0
500345	0	104	0
500445	0	104	0
500545	0	104	0
500645	0	104	0
500745	0	104	0
500845	0	104	0
500945	0	104	0
501045	0	104	0
501145	0	104	0
501245	0	104	0
501345	0	104	0
501445	0	104	0
501545	0	104	0
501645	0	104	0
501745	0	104	0
501845	0	104	0
501945	0	104	0
502045	0	104	0
502145	0	104	0
502245	0	104	0
502345	0	104	0
502445	0	104	0
502545	0	104	0
502645	0	104	0
502745	0	104	0
502845	0	104	0
502945	0	104	0
503045	0	104	0
503145	0	104	0
503245	0	104	0
503345	0	104	0
503445	0	104	0
503545	0	104	0
503645	0	104	0
503745	0	104	0
503845	0	104	0
503945	0	104	0
504045	0	104	0
504145	0	104	0
504245	0	104	0
504345	0	104	0
504445	0	104	0
504545	0	104	0
504645	0	104	0
504745	0	104	0
504845	0	104	0
504945	0	104	0
505045	0	104	0
505145	0	104	0
505245	0	104	0
505345	0	104	0
505445	0	104	0
505545	0	104	0
505645	0	104	0
505745	0	104	0
505845	0	104	0
505945	0	104	0
506045	0	104	0
506145	0	104	0
506245	0	104	0
506345	0	104	0
506445	0	104	0
506545	0	104	0
506645	0	104	0
506745	0	104	0
506845	0	104	0
506945	0	104	0
507045	0	104	0
507145	0	104	0
507245	0	104	0
507345	0	104	0
507445	0	104	0
507545	0	104	0
507645	0	104	0
507745	0	104	0
507845	0	104	0
507945	0	104	0
508045	0	104	0
508145	0	104	0
508245	0	104	0
508345	0	104	0
508445	0	104	0
508545	0	104	0
508645	0	104	0
508745	0	104	0
508845	0	104	0
508945	0	104	0
509045	0	104	0
509145	0	104	0
509245	0	104	0
509345	0	104	0
509445	0	104	0
509545	0	104	0
509645	0	104	0
509745	0	104	0
509845	0	104	0
509945	0	104	0
510045	0	104	0
510145	0	104	0
510245	0	104	0
510345	0	104	0
510445	0	104	0
510545	0	104	0
510645	0	104	0
510745	0	104	0
510845	0	104	0
510945	0	104	0
511045	0	104	0
511145	0	104	0
511245	0	104	0
511345	0	104	0
511445	0	104	0
511545	0	104	0
511645	0	104	0
511745	0	104	0
511845	0	104	0
511945	0	104	0
512045	0	104	0
512145	0	104	0
512245	0	104	0
512345	0	104	0
512445	0	104	0
512545	0	104	0
512645	0	104	0
512745	0	104	0
512845	0	104	0
512945	0	104	0
513045	0	104	0
513145	0	104	0
513245	0	104	0
513345	0	104	0
513445	0	104	0
513545	0	104	0
513645	0	104	0
513745	0	104	0
513845	0	104	0
513945	0	104	0
514045	0	104	0
514145	0	104	0
514245	0	104	0
514345	0	104	0
514445	0	104	0
514545	0	104	0
514645	0	104	0
514745	0	104	0
514845	0	104	0
514945	0	104	0
515045	0	104	0
515145	0	104	0
515245	0	104	0
515345	0	104	0
515445	0	104	0
515545	0	104	0
515645	0	104	0
515745	0	104	0
515845	0	104	0
515945	0	104	0
516045	0	104	0
516145	0	104	0
516245	0	104	0
516345	0	104	0
516445	0	104	0
516545	0	104	0
516645	0	104	0
516745	0	104	0
516845	0	104	0
516945	0	104	0
517045	0	104	0
517145	0	104	0
517245	0	104	0
517345	0	104	0
517445	0	104	0
517545	0	104	0
517645	0	104	0
517745	0	104	0
517845	0	104	0
517945	0	104	0
518045	0	104	0
518145	0	104	0
518245	0	104	0
518345	0	104	0
518445	0	104	0
518545	0	104	0
518645	0	104	0
518745	0	104	0
518845	0	104	0
518945	0	104	0
519045	0	104	0
519145	0	104	0
519245	0	104	0
519345	0	104	0
519445	0	104	0
519545	0	104	0
519645	0	104	0
519745	0	104	0
519845	0	104	0
519945	0	104	0
520045	0	104	0
520145	0	104	0
520245	0	104	0
520345	0	104	0
520445	0	104	0
520545	0	104	0
520645	0	104	0
520745	0	104	0
520845	0	104	0
520945	0	104	0
521045	0	104	0
521145	0	104	0
521245	0	104	0
521345	0	104	0
521445	0	104	0
521545	0	104	0
521645	0	104	0
521745	0	104	0
522045	0	104	0
522145	0	104	0
522245	0	104	0
522345	0	104	0
522445	0	104	0
522545	0	104	0
522645	0	104	0
522745	0	104	0
522845	0	104	0
522945	0	104	0
523045	0	104	0
523145	0	104	0
523245	0	104	0
523345	0	104	0
523445	0	104	0
523545	0	104	0
523645	0	104	0
523745	0	104	0
523845	0	104	0
523945	0	104	0
524045	0	104	0
524145	0	104	0
524245	0	104	0
524345	0	104	0
524445	0	104	0
524545	0	104	0
524645	0	104	0
524745	0	104	0
524845	0	104	0
524945	0	104	0
525045	0	104	0
525145	0	104	0
525245	0	104	0
525345	0	104	0
525445	0	104	0
525545	0	104	0
525645	0	104	0
525745	0	104	0
525845	0	104	0
525945	0	104	0
526045	0	104	0
526145	0	104	0
526245	0	104	0
526345	0	104	0
526445	0	104	0
526545	0	104	0
526645	0	104	0
526745	0	104	0
526845	0	104	0
526945	0	104	0
527045	0	104	0
527145	0	104	0
527245	0	104	0
527345	0	104	0
527445	0	104	0
527545	0	104	0
527646	0	104	0
527745	0	104	0
527845	0	104	0
527945	0	104	0
528045	0	104	0
528145	0	104	0
528245	0	104	0
528346	0	104	0
528445	0	104	0
528545	0	104	0
528645	0	104	0
528746	0	104	0
528845	0	104	0
528945	0	104	0
529045	0	104	0
529145	0	104	0
529245	0	104	0
529345	0	104	0
529445	0	104	0
529545	0	104	0
529645	0	104	0
529745	0	104	0
529845	0	104	0
529945	0	104	0
530045	0	104	0
530145	0	104	0
530245	0	104	0
530345	0	104	0
530445	0	104	0
530545	0	104	0
530645	0	104	0
530745	0	104	0
530845	0	104	0
530945	0	104	0
531045	0	104	0
531145	0	104	0
531245	0	104	0
531345	0	104	0
531445	0	104	0
531545	0	104	0
531645	0	104	0
531745	0	104	0
531845	0	104	0
531945	0	104	0
532045	0	104	0
532145	0	104	0
532245	0	104	0
532345	0	104	0
532445	0	104	0
532546	0	104	0
532645	0	104	0
532745	0	104	0
532846	0	104	0
532945	0	104	0
533045	0	104	0
533145	0	104	0
533246	0	104	0
533345	0	104	0
533445	0	104	0
533545	0	104	0
533646	0	104	0
533745	0	104	0
533845	0	104	0
533945	0	104	0
534045	0	104	0
534145	0	104	0
534245	0	104	0
534345	0	104	0
534445	0	104	0
534545	0	104	0
534645	0	104	0
534746	0	104	0
534845	0	104	0
534945	0	104	0
535045	0	104	0
535146	0	104	0
535245	0	104	0
535345	0	104	0
535445	0	104	0
535546	0	104	0
535645	0	104	0
535745	0	104	0
535845	0	104	0
535946	0	104	0
536045	0	104	0
536145	0	104	0
536246	0	104	0
536345	0	104	0
536445	0	104	0
536545	0	104	0
536646	0	104	0
536745	0	104	0
536845	0	104	0
536945	0	104	0
537046	0	104	0
537145	0	104	0
537245	0	104	0
537346	0	104	0
537446	0	104	0
537545	0	104	0
537645	0	104	0
537746	0	104	0
537845	0	104	0
537945	0	104	0
538045	0	104	0
538146	0	104	0
538245	0	104	0
538345	0	104	0
538445	0	104	0
538546	0	104	0
538645	0	104	0
538745	0	104	0
538845	0	104	0
538946	0	104	0
539045	0	104	0
539145	0	104	0
539246	0	104	0
539345	0	104	0
539445	0	104	0
539545	0	104	0
539646	0	104	0
539745	0	104	0
539845	0	104	0
539945	0	104	0
540046	0	104	0
540145	0	104	0
540245	0	104	0
540345	0	104	0
540446	0	104	0
540545	0	104	0
540645	0	104	0
540746	0	104	0
540845	0	104	0
540945	0	104	0
541045	0	104	0
541146	0	104	0
541245	0	104	0
541345	0	104	0
541445	0	104	0
541546	0	104	0
541645	0	104	0
541745	0	104	0
541845	0	104	0
541946	0	104	0
542045	0	104	0
542145	0	104	0
542245	0	104	0
542346	0	104	0
542445	0	104	0
542545	0	104	0
542646	0	104	0
542745	0	104	0
542845	0	104	0
542945	0	104	0
543046	0	104	0
543146	0	104	0
543245	0	104	0
543345	0	104	0
543446	0	104	0
543648	0	104	0
543846	0	104	0
544146	0	104	0
544246	0	104	0
544445	0	104	0
544645	0	104	0
544745	0	104	0
544845	0	104	0
544946	0	104	0
545045	0	104	0
545145	0	104	0
545246	0	104	0
545346	0	104	0
545445	0	104	0
545545	0	104	0
545646	0	104	0
545746	0	104	0
545845	0	104	0
545946	0	104	0
546046	0	104	0
546145	0	104	0
546246	0	104	0
546345	0	104	0
546446	0	104	0
546545	0	104	0
546646	0	104	0
546745	0	104	0
546846	0	104	0
546946	0	104	0
547046	0	104	0
547146	0	104	0
547246	0	104	0
547346	0	104	0
547446	0	104	0
547546	0	104	0
547646	0	104	0
547746	0	104	0
547846	0	104	0
547946	0	104	0
548046	0	104	0
548146	0	104	0
548246	0	104	0
548346	0	104	0
548446	0	104	0
548546	0	104	0
548646	0	104	0
548746	0	104	0
548846	0	104	0
548946	0	104	0
549046	0	104	0
549146	0	104	0
549246	0	104	0
549346	0	104	0
549446	0	104	0
549546	0	104	0
549646	0	104	0
549746	0	104	0
549846	0	104	0
549946	0	104	0
550046	0	104	0
550146	0	104	0
550246	0	104	0